Agentura,Datum,Hodnota,Průměr,Strana,size
volby+STEM,2022-08-16,0.03190620617414718,Přísaha,Přísaha,1
Kantar,2022-08-16,0.03190620617414718,Přísaha,Přísaha,1
Median,2022-08-16,0.03190620617414718,Přísaha,Přísaha,1
STEM,2022-08-16,0.03190620617414718,Přísaha,Přísaha,1
volby+STEM,2022-08-16,0.042935626572936855,SOCDEM,SOCDEM,1
Kantar,2022-08-16,0.042935626572936855,SOCDEM,SOCDEM,1
Median,2022-08-16,0.042935626572936855,SOCDEM,SOCDEM,1
STEM,2022-08-16,0.042935626572936855,SOCDEM,SOCDEM,1
volby+STEM,2022-08-16,0.12450394113529445,SPD,SPD,1
Kantar,2022-08-16,0.12450394113529445,SPD,SPD,1
Median,2022-08-16,0.12450394113529445,SPD,SPD,1
STEM,2022-08-16,0.12450394113529445,SPD,SPD,1
volby+STEM,2022-08-16,0.05488018492928287,STAN,STAN,1
Kantar,2022-08-16,0.05488018492928287,STAN,STAN,1
Median,2022-08-16,0.05488018492928287,STAN,STAN,1
STEM,2022-08-16,0.05488018492928287,STAN,STAN,1
volby+STEM,2022-08-16,0.046902047147721296,TOP 09,TOP 09,1
Kantar,2022-08-16,0.046902047147721296,TOP 09,TOP 09,1
Median,2022-08-16,0.046902047147721296,TOP 09,TOP 09,1
STEM,2022-08-16,0.046902047147721296,TOP 09,TOP 09,1
volby+STEM,2022-08-24,0.2999427498333123,ANO,ANO,1
Kantar,2022-08-24,0.2999427498333123,ANO,ANO,1
Median,2022-08-24,0.2999427498333123,ANO,ANO,1
STEM,2022-08-24,0.2999427498333123,ANO,ANO,1
volby+STEM,2022-08-24,0.040449447607437336,KDU-ČSL,KDU-ČSL,1
Kantar,2022-08-24,0.040449447607437336,KDU-ČSL,KDU-ČSL,1
Median,2022-08-24,0.040449447607437336,KDU-ČSL,KDU-ČSL,1
STEM,2022-08-24,0.040449447607437336,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-08-24,0.025761848821090512,KSČM,KSČM,1
Kantar,2022-08-24,0.025761848821090512,KSČM,KSČM,1
Median,2022-08-24,0.025761848821090512,KSČM,KSČM,1
STEM,2022-08-24,0.025761848821090512,KSČM,KSČM,1
volby+STEM,2022-08-24,0.16696890036780732,ODS,ODS,1
Kantar,2022-08-24,0.16696890036780732,ODS,ODS,1
Median,2022-08-24,0.16696890036780732,ODS,ODS,1
STEM,2022-08-24,0.16696890036780732,ODS,ODS,1
volby+STEM,2022-08-24,0.09866643087345002,Piráti,Piráti,1
Kantar,2022-08-24,0.09866643087345002,Piráti,Piráti,1
Median,2022-08-24,0.09866643087345002,Piráti,Piráti,1
STEM,2022-08-24,0.09866643087345002,Piráti,Piráti,1
volby+STEM,2022-08-24,0.03176969228167175,Přísaha,Přísaha,1
Kantar,2022-08-24,0.03176969228167175,Přísaha,Přísaha,1
Median,2022-08-24,0.03176969228167175,Přísaha,Přísaha,1
STEM,2022-08-24,0.03176969228167175,Přísaha,Přísaha,1
volby+STEM,2022-08-24,0.04118891415219628,SOCDEM,SOCDEM,1
Kantar,2022-08-24,0.04118891415219628,SOCDEM,SOCDEM,1
Median,2022-08-24,0.04118891415219628,SOCDEM,SOCDEM,1
STEM,2022-08-24,0.04118891415219628,SOCDEM,SOCDEM,1
volby+STEM,2022-08-24,0.12338660092738533,SPD,SPD,1
Kantar,2022-08-24,0.12338660092738533,SPD,SPD,1
Median,2022-08-24,0.12338660092738533,SPD,SPD,1
STEM,2022-08-24,0.12338660092738533,SPD,SPD,1
volby+STEM,2022-08-24,0.056257321973220066,STAN,STAN,1
Kantar,2022-08-24,0.056257321973220066,STAN,STAN,1
Median,2022-08-24,0.056257321973220066,STAN,STAN,1
STEM,2022-08-24,0.056257321973220066,STAN,STAN,1
volby+STEM,2022-08-24,0.04736639278892189,TOP 09,TOP 09,1
Kantar,2022-08-24,0.04736639278892189,TOP 09,TOP 09,1
Median,2022-08-24,0.04736639278892189,TOP 09,TOP 09,1
STEM,2022-08-24,0.04736639278892189,TOP 09,TOP 09,1
volby+STEM,2022-09-04,0.2998163211937891,ANO,ANO,1
Kantar,2022-09-04,0.2998163211937891,ANO,ANO,1
Median,2022-09-04,0.2998163211937891,ANO,ANO,1
STEM,2022-09-04,0.2998163211937891,ANO,ANO,1
volby+STEM,2022-09-04,0.04146585448608015,KDU-ČSL,KDU-ČSL,1
Kantar,2022-09-04,0.04146585448608015,KDU-ČSL,KDU-ČSL,1
Median,2022-09-04,0.04146585448608015,KDU-ČSL,KDU-ČSL,1
STEM,2022-09-04,0.04146585448608015,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-09-04,,KSČM,KSČM,1
Kantar,2022-09-04,,KSČM,KSČM,1
Median,2022-09-04,,KSČM,KSČM,1
STEM,2022-09-04,,KSČM,KSČM,1
volby+STEM,2022-09-04,0.16441507595143845,ODS,ODS,1
Kantar,2022-09-04,0.16441507595143845,ODS,ODS,1
Median,2022-09-04,0.16441507595143845,ODS,ODS,1
STEM,2022-09-04,0.16441507595143845,ODS,ODS,1
volby+STEM,2022-09-04,0.09907916248819876,Piráti,Piráti,1
Kantar,2022-09-04,0.09907916248819876,Piráti,Piráti,1
Median,2022-09-04,0.09907916248819876,Piráti,Piráti,1
STEM,2022-09-04,0.09907916248819876,Piráti,Piráti,1
volby+STEM,2022-09-04,0.03186536873363227,Přísaha,Přísaha,1
Kantar,2022-09-04,0.03186536873363227,Přísaha,Přísaha,1
Median,2022-09-04,0.03186536873363227,Přísaha,Přísaha,1
STEM,2022-09-04,0.03186536873363227,Přísaha,Přísaha,1
volby+STEM,2022-09-04,0.040589831457257405,SOCDEM,SOCDEM,1
Kantar,2022-09-04,0.040589831457257405,SOCDEM,SOCDEM,1
Median,2022-09-04,0.040589831457257405,SOCDEM,SOCDEM,1
STEM,2022-09-04,0.040589831457257405,SOCDEM,SOCDEM,1
volby+STEM,2022-09-04,0.12399492122949132,SPD,SPD,1
Kantar,2022-09-04,0.12399492122949132,SPD,SPD,1
Median,2022-09-04,0.12399492122949132,SPD,SPD,1
STEM,2022-09-04,0.12399492122949132,SPD,SPD,1
volby+STEM,2022-09-04,0.05674219926349259,STAN,STAN,1
Kantar,2022-09-04,0.05674219926349259,STAN,STAN,1
Median,2022-09-04,0.05674219926349259,STAN,STAN,1
STEM,2022-09-04,0.05674219926349259,STAN,STAN,1
volby+STEM,2022-09-04,0.04837578350745692,TOP 09,TOP 09,1
Kantar,2022-09-04,0.04837578350745692,TOP 09,TOP 09,1
Median,2022-09-04,0.04837578350745692,TOP 09,TOP 09,1
STEM,2022-09-04,0.04837578350745692,TOP 09,TOP 09,1
volby+STEM,2022-09-15,0.2996552397952387,ANO,ANO,1
Kantar,2022-09-15,0.2996552397952387,ANO,ANO,1
Median,2022-09-15,0.2996552397952387,ANO,ANO,1
STEM,2022-09-15,0.2996552397952387,ANO,ANO,1
volby+STEM,2022-09-15,0.04193939172284565,KDU-ČSL,KDU-ČSL,1
Kantar,2022-09-15,0.04193939172284565,KDU-ČSL,KDU-ČSL,1
Median,2022-09-15,0.04193939172284565,KDU-ČSL,KDU-ČSL,1
STEM,2022-09-15,0.04193939172284565,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-09-15,0.022644331366616036,KSČM,KSČM,1
Kantar,2022-09-15,0.022644331366616036,KSČM,KSČM,1
Median,2022-09-15,0.022644331366616036,KSČM,KSČM,1
STEM,2022-09-15,0.022644331366616036,KSČM,KSČM,1
volby+STEM,2022-09-15,0.16544418092923924,ODS,ODS,1
Kantar,2022-09-15,0.16544418092923924,ODS,ODS,1
Median,2022-09-15,0.16544418092923924,ODS,ODS,1
STEM,2022-09-15,0.16544418092923924,ODS,ODS,1
volby+STEM,2022-09-15,0.10033938041858242,Piráti,Piráti,1
Kantar,2022-09-15,0.10033938041858242,Piráti,Piráti,1
Median,2022-09-15,0.10033938041858242,Piráti,Piráti,1
STEM,2022-09-15,0.10033938041858242,Piráti,Piráti,1
volby+STEM,2022-09-15,0.031450600079795374,Přísaha,Přísaha,1
Kantar,2022-09-15,0.031450600079795374,Přísaha,Přísaha,1
Median,2022-09-15,0.031450600079795374,Přísaha,Přísaha,1
STEM,2022-09-15,0.031450600079795374,Přísaha,Přísaha,1
volby+STEM,2022-09-15,0.04006592616858774,SOCDEM,SOCDEM,1
Kantar,2022-09-15,0.04006592616858774,SOCDEM,SOCDEM,1
Median,2022-09-15,0.04006592616858774,SOCDEM,SOCDEM,1
STEM,2022-09-15,0.04006592616858774,SOCDEM,SOCDEM,1
volby+STEM,2022-09-15,0.12150945820214847,SPD,SPD,1
Kantar,2022-09-15,0.12150945820214847,SPD,SPD,1
Median,2022-09-15,0.12150945820214847,SPD,SPD,1
STEM,2022-09-15,0.12150945820214847,SPD,SPD,1
volby+STEM,2022-09-15,0.05834978719801165,STAN,STAN,1
Kantar,2022-09-15,0.05834978719801165,STAN,STAN,1
Median,2022-09-15,0.05834978719801165,STAN,STAN,1
STEM,2022-09-15,0.05834978719801165,STAN,STAN,1
volby+STEM,2022-09-15,0.049155160335241435,TOP 09,TOP 09,1
Kantar,2022-09-15,0.049155160335241435,TOP 09,TOP 09,1
Median,2022-09-15,0.049155160335241435,TOP 09,TOP 09,1
STEM,2022-09-15,0.049155160335241435,TOP 09,TOP 09,1
volby+STEM,2022-09-21,0.2990677245958285,ANO,ANO,1
Kantar,2022-09-21,0.2990677245958285,ANO,ANO,1
Median,2022-09-21,0.2990677245958285,ANO,ANO,1
STEM,2022-09-21,0.2990677245958285,ANO,ANO,1
volby+STEM,2022-09-21,0.04377995505745609,KDU-ČSL,KDU-ČSL,1
Kantar,2022-09-21,0.04377995505745609,KDU-ČSL,KDU-ČSL,1
Median,2022-09-21,0.04377995505745609,KDU-ČSL,KDU-ČSL,1
STEM,2022-09-21,0.04377995505745609,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-09-21,0.022554030758132195,KSČM,KSČM,1
Kantar,2022-09-21,0.022554030758132195,KSČM,KSČM,1
Median,2022-09-21,0.022554030758132195,KSČM,KSČM,1
STEM,2022-09-21,0.022554030758132195,KSČM,KSČM,1
volby+STEM,2022-09-21,0.16654489739673617,ODS,ODS,1
Kantar,2022-09-21,0.16654489739673617,ODS,ODS,1
Median,2022-09-21,0.16654489739673617,ODS,ODS,1
STEM,2022-09-21,0.16654489739673617,ODS,ODS,1
volby+STEM,2022-09-21,0.10017824455128692,Piráti,Piráti,1
Kantar,2022-09-21,0.10017824455128692,Piráti,Piráti,1
Median,2022-09-21,0.10017824455128692,Piráti,Piráti,1
STEM,2022-09-21,0.10017824455128692,Piráti,Piráti,1
volby+STEM,2022-09-21,0.0313438375955503,Přísaha,Přísaha,1
Kantar,2022-09-21,0.0313438375955503,Přísaha,Přísaha,1
Median,2022-09-21,0.0313438375955503,Přísaha,Přísaha,1
STEM,2022-09-21,0.0313438375955503,Přísaha,Přísaha,1
volby+STEM,2022-09-21,0.03930569686288578,SOCDEM,SOCDEM,1
Kantar,2022-09-21,0.03930569686288578,SOCDEM,SOCDEM,1
Median,2022-09-21,0.03930569686288578,SOCDEM,SOCDEM,1
STEM,2022-09-21,0.03930569686288578,SOCDEM,SOCDEM,1
volby+STEM,2022-09-21,0.12066792020069018,SPD,SPD,1
Kantar,2022-09-21,0.12066792020069018,SPD,SPD,1
Median,2022-09-21,0.12066792020069018,SPD,SPD,1
STEM,2022-09-21,0.12066792020069018,SPD,SPD,1
volby+STEM,2022-09-21,0.05959282381779672,STAN,STAN,1
Kantar,2022-09-21,0.05959282381779672,STAN,STAN,1
Median,2022-09-21,0.05959282381779672,STAN,STAN,1
STEM,2022-09-21,0.05959282381779672,STAN,STAN,1
volby+STEM,2022-09-21,0.04860537672332234,TOP 09,TOP 09,1
Kantar,2022-09-21,0.04860537672332234,TOP 09,TOP 09,1
Median,2022-09-21,0.04860537672332234,TOP 09,TOP 09,1
STEM,2022-09-21,0.04860537672332234,TOP 09,TOP 09,1
volby+STEM,2022-10-16,0.2976741534592017,ANO,ANO,1
Kantar,2022-10-16,0.2976741534592017,ANO,ANO,1
Median,2022-10-16,0.2976741534592017,ANO,ANO,1
STEM,2022-10-16,0.2976741534592017,ANO,ANO,1
volby+STEM,2022-10-16,0.04628667444473385,KDU-ČSL,KDU-ČSL,1
Kantar,2022-10-16,0.04628667444473385,KDU-ČSL,KDU-ČSL,1
Median,2022-10-16,0.04628667444473385,KDU-ČSL,KDU-ČSL,1
STEM,2022-10-16,0.04628667444473385,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-10-16,0.023371213078693314,KSČM,KSČM,1
Kantar,2022-10-16,0.023371213078693314,KSČM,KSČM,1
Median,2022-10-16,0.023371213078693314,KSČM,KSČM,1
STEM,2022-10-16,0.023371213078693314,KSČM,KSČM,1
volby+STEM,2022-10-16,0.16603614401497027,ODS,ODS,1
Kantar,2022-10-16,0.16603614401497027,ODS,ODS,1
Median,2022-10-16,0.16603614401497027,ODS,ODS,1
STEM,2022-10-16,0.16603614401497027,ODS,ODS,1
volby+STEM,2022-10-16,0.10464195130927276,Piráti,Piráti,1
Kantar,2022-10-16,0.10464195130927276,Piráti,Piráti,1
Median,2022-10-16,0.10464195130927276,Piráti,Piráti,1
STEM,2022-10-16,0.10464195130927276,Piráti,Piráti,1
volby+STEM,2022-10-16,0.026066760953450684,Přísaha,Přísaha,1
Kantar,2022-10-16,0.026066760953450684,Přísaha,Přísaha,1
Median,2022-10-16,0.026066760953450684,Přísaha,Přísaha,1
STEM,2022-10-16,0.026066760953450684,Přísaha,Přísaha,1
volby+STEM,2022-10-16,0.04233744202915335,SOCDEM,SOCDEM,1
Kantar,2022-10-16,0.04233744202915335,SOCDEM,SOCDEM,1
Median,2022-10-16,0.04233744202915335,SOCDEM,SOCDEM,1
STEM,2022-10-16,0.04233744202915335,SOCDEM,SOCDEM,1
volby+STEM,2022-10-16,0.11858702966524541,SPD,SPD,1
Kantar,2022-10-16,0.11858702966524541,SPD,SPD,1
Median,2022-10-16,0.11858702966524541,SPD,SPD,1
STEM,2022-10-16,0.11858702966524541,SPD,SPD,1
volby+STEM,2022-10-16,0.05890473794931071,STAN,STAN,1
Kantar,2022-10-16,0.05890473794931071,STAN,STAN,1
Median,2022-10-16,0.05890473794931071,STAN,STAN,1
STEM,2022-10-16,0.05890473794931071,STAN,STAN,1
volby+STEM,2022-10-16,0.04986734664698884,TOP 09,TOP 09,1
Kantar,2022-10-16,0.04986734664698884,TOP 09,TOP 09,1
Median,2022-10-16,0.04986734664698884,TOP 09,TOP 09,1
STEM,2022-10-16,0.04986734664698884,TOP 09,TOP 09,1
volby+STEM,2022-10-26,0.2932502130680652,ANO,ANO,1
Kantar,2022-10-26,0.2932502130680652,ANO,ANO,1
Median,2022-10-26,0.2932502130680652,ANO,ANO,1
STEM,2022-10-26,0.2932502130680652,ANO,ANO,1
volby+STEM,2022-10-26,0.044596600727776,KDU-ČSL,KDU-ČSL,1
Kantar,2022-10-26,0.044596600727776,KDU-ČSL,KDU-ČSL,1
Median,2022-10-26,0.044596600727776,KDU-ČSL,KDU-ČSL,1
STEM,2022-10-26,0.044596600727776,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-10-26,0.024506020376789388,KSČM,KSČM,1
Kantar,2022-10-26,0.024506020376789388,KSČM,KSČM,1
Median,2022-10-26,0.024506020376789388,KSČM,KSČM,1
STEM,2022-10-26,0.024506020376789388,KSČM,KSČM,1
volby+STEM,2022-10-26,0.17245280833023266,ODS,ODS,1
Kantar,2022-10-26,0.17245280833023266,ODS,ODS,1
Median,2022-10-26,0.17245280833023266,ODS,ODS,1
STEM,2022-10-26,0.17245280833023266,ODS,ODS,1
volby+STEM,2022-10-26,0.1057301140021673,Piráti,Piráti,1
Kantar,2022-10-26,0.1057301140021673,Piráti,Piráti,1
Median,2022-10-26,0.1057301140021673,Piráti,Piráti,1
STEM,2022-10-26,0.1057301140021673,Piráti,Piráti,1
volby+STEM,2022-10-26,0.024722782809371742,Přísaha,Přísaha,1
Kantar,2022-10-26,0.024722782809371742,Přísaha,Přísaha,1
Median,2022-10-26,0.024722782809371742,Přísaha,Přísaha,1
STEM,2022-10-26,0.024722782809371742,Přísaha,Přísaha,1
volby+STEM,2022-10-26,0.04113672790744414,SOCDEM,SOCDEM,1
Kantar,2022-10-26,0.04113672790744414,SOCDEM,SOCDEM,1
Median,2022-10-26,0.04113672790744414,SOCDEM,SOCDEM,1
STEM,2022-10-26,0.04113672790744414,SOCDEM,SOCDEM,1
volby+STEM,2022-10-26,0.11723903216257091,SPD,SPD,1
Kantar,2022-10-26,0.11723903216257091,SPD,SPD,1
Median,2022-10-26,0.11723903216257091,SPD,SPD,1
STEM,2022-10-26,0.11723903216257091,SPD,SPD,1
volby+STEM,2022-10-26,0.05939885634635295,STAN,STAN,1
Kantar,2022-10-26,0.05939885634635295,STAN,STAN,1
Median,2022-10-26,0.05939885634635295,STAN,STAN,1
STEM,2022-10-26,0.05939885634635295,STAN,STAN,1
volby+STEM,2022-10-26,0.05047211914150278,TOP 09,TOP 09,1
Kantar,2022-10-26,0.05047211914150278,TOP 09,TOP 09,1
Median,2022-10-26,0.05047211914150278,TOP 09,TOP 09,1
STEM,2022-10-26,0.05047211914150278,TOP 09,TOP 09,1
volby+STEM,2022-12-02,0.30179470599463254,ANO,ANO,1
Kantar,2022-12-02,0.30179470599463254,ANO,ANO,1
Median,2022-12-02,0.30179470599463254,ANO,ANO,1
STEM,2022-12-02,0.30179470599463254,ANO,ANO,1
volby+STEM,2022-12-02,0.04600702220943723,KDU-ČSL,KDU-ČSL,1
Kantar,2022-12-02,0.04600702220943723,KDU-ČSL,KDU-ČSL,1
Median,2022-12-02,0.04600702220943723,KDU-ČSL,KDU-ČSL,1
STEM,2022-12-02,0.04600702220943723,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-12-02,0.03278266867105132,KSČM,KSČM,1
Kantar,2022-12-02,0.03278266867105132,KSČM,KSČM,1
Median,2022-12-02,0.03278266867105132,KSČM,KSČM,1
STEM,2022-12-02,0.03278266867105132,KSČM,KSČM,1
volby+STEM,2022-12-02,0.1576226056489704,ODS,ODS,1
Kantar,2022-12-02,0.1576226056489704,ODS,ODS,1
Median,2022-12-02,0.1576226056489704,ODS,ODS,1
STEM,2022-12-02,0.1576226056489704,ODS,ODS,1
volby+STEM,2022-12-02,0.10002999991810242,Piráti,Piráti,1
Kantar,2022-12-02,0.10002999991810242,Piráti,Piráti,1
Median,2022-12-02,0.10002999991810242,Piráti,Piráti,1
STEM,2022-12-02,0.10002999991810242,Piráti,Piráti,1
volby+STEM,2022-12-02,,Přísaha,Přísaha,1
Kantar,2022-12-02,,Přísaha,Přísaha,1
Median,2022-12-02,,Přísaha,Přísaha,1
STEM,2022-12-02,,Přísaha,Přísaha,1
volby+STEM,2022-12-02,0.04108273875990869,SOCDEM,SOCDEM,1
Kantar,2022-12-02,0.04108273875990869,SOCDEM,SOCDEM,1
Median,2022-12-02,0.04108273875990869,SOCDEM,SOCDEM,1
STEM,2022-12-02,0.04108273875990869,SOCDEM,SOCDEM,1
volby+STEM,2022-12-02,0.11772032582560947,SPD,SPD,1
Kantar,2022-12-02,0.11772032582560947,SPD,SPD,1
Median,2022-12-02,0.11772032582560947,SPD,SPD,1
STEM,2022-12-02,0.11772032582560947,SPD,SPD,1
volby+STEM,2022-12-02,0.06240418711029133,STAN,STAN,1
Kantar,2022-12-02,0.06240418711029133,STAN,STAN,1
Median,2022-12-02,0.06240418711029133,STAN,STAN,1
STEM,2022-12-02,0.06240418711029133,STAN,STAN,1
volby+STEM,2022-12-02,0.048271641661227396,TOP 09,TOP 09,1
Kantar,2022-12-02,0.048271641661227396,TOP 09,TOP 09,1
Median,2022-12-02,0.048271641661227396,TOP 09,TOP 09,1
STEM,2022-12-02,0.048271641661227396,TOP 09,TOP 09,1
volby+STEM,2023-02-22,0.3127831269998482,ANO,ANO,1
Kantar,2023-02-22,0.3127831269998482,ANO,ANO,1
Median,2023-02-22,0.3127831269998482,ANO,ANO,1
STEM,2023-02-22,0.3127831269998482,ANO,ANO,1
volby+STEM,2023-02-22,0.03875802632372818,KDU-ČSL,KDU-ČSL,1
Kantar,2023-02-22,0.03875802632372818,KDU-ČSL,KDU-ČSL,1
Median,2023-02-22,0.03875802632372818,KDU-ČSL,KDU-ČSL,1
STEM,2023-02-22,0.03875802632372818,KDU-ČSL,KDU-ČSL,1
volby+STEM,2023-02-22,0.02866526018890017,KSČM,KSČM,1
Kantar,2023-02-22,0.02866526018890017,KSČM,KSČM,1
Median,2023-02-22,0.02866526018890017,KSČM,KSČM,1
STEM,2023-02-22,0.02866526018890017,KSČM,KSČM,1
volby+STEM,2023-02-22,0.17469922968487947,ODS,ODS,1
Kantar,2023-02-22,0.17469922968487947,ODS,ODS,1
Median,2023-02-22,0.17469922968487947,ODS,ODS,1
STEM,2023-02-22,0.17469922968487947,ODS,ODS,1
volby+STEM,2023-02-22,0.10140191887905688,Piráti,Piráti,1
Kantar,2023-02-22,0.10140191887905688,Piráti,Piráti,1
Median,2023-02-22,0.10140191887905688,Piráti,Piráti,1
STEM,2023-02-22,0.10140191887905688,Piráti,Piráti,1
volby+STEM,2023-02-22,0.02455218285182791,Přísaha,Přísaha,1
Kantar,2023-02-22,0.02455218285182791,Přísaha,Přísaha,1
Median,2023-02-22,0.02455218285182791,Přísaha,Přísaha,1
STEM,2023-02-22,0.02455218285182791,Přísaha,Přísaha,1
volby+STEM,2023-02-22,0.04581719773073205,SOCDEM,SOCDEM,1
Kantar,2023-02-22,0.04581719773073205,SOCDEM,SOCDEM,1
Median,2023-02-22,0.04581719773073205,SOCDEM,SOCDEM,1
STEM,2023-02-22,0.04581719773073205,SOCDEM,SOCDEM,1
volby+STEM,2023-02-22,0.09103987037851803,SPD,SPD,1
Kantar,2023-02-22,0.09103987037851803,SPD,SPD,1
Median,2023-02-22,0.09103987037851803,SPD,SPD,1
STEM,2023-02-22,0.09103987037851803,SPD,SPD,1
volby+STEM,2023-02-22,0.06897025389809897,STAN,STAN,1
Kantar,2023-02-22,0.06897025389809897,STAN,STAN,1
Median,2023-02-22,0.06897025389809897,STAN,STAN,1
STEM,2023-02-22,0.06897025389809897,STAN,STAN,1
volby+STEM,2023-02-22,0.048542609731859414,TOP 09,TOP 09,1
Kantar,2023-02-22,0.048542609731859414,TOP 09,TOP 09,1
Median,2023-02-22,0.048542609731859414,TOP 09,TOP 09,1
STEM,2023-02-22,0.048542609731859414,TOP 09,TOP 09,1
volby+STEM,2023-02-23,0.31316420275967594,ANO,ANO,1
Kantar,2023-02-23,0.31316420275967594,ANO,ANO,1
Median,2023-02-23,0.31316420275967594,ANO,ANO,1
STEM,2023-02-23,0.31316420275967594,ANO,ANO,1
volby+STEM,2023-02-23,0.03871442819294164,KDU-ČSL,KDU-ČSL,1
Kantar,2023-02-23,0.03871442819294164,KDU-ČSL,KDU-ČSL,1
Median,2023-02-23,0.03871442819294164,KDU-ČSL,KDU-ČSL,1
STEM,2023-02-23,0.03871442819294164,KDU-ČSL,KDU-ČSL,1
volby+STEM,2023-02-23,0.02882612946142693,KSČM,KSČM,1
Kantar,2023-02-23,0.02882612946142693,KSČM,KSČM,1
Median,2023-02-23,0.02882612946142693,KSČM,KSČM,1
STEM,2023-02-23,0.02882612946142693,KSČM,KSČM,1
volby+STEM,2023-02-23,0.17394562044572495,ODS,ODS,1
Kantar,2023-02-23,0.17394562044572495,ODS,ODS,1
Median,2023-02-23,0.17394562044572495,ODS,ODS,1
STEM,2023-02-23,0.17394562044572495,ODS,ODS,1
volby+STEM,2023-02-23,0.10163138498988576,Piráti,Piráti,1
Kantar,2023-02-23,0.10163138498988576,Piráti,Piráti,1
Median,2023-02-23,0.10163138498988576,Piráti,Piráti,1
STEM,2023-02-23,0.10163138498988576,Piráti,Piráti,1
volby+STEM,2023-02-23,0.02457205224605043,Přísaha,Přísaha,1
Kantar,2023-02-23,0.02457205224605043,Přísaha,Přísaha,1
Median,2023-02-23,0.02457205224605043,Přísaha,Přísaha,1
STEM,2023-02-23,0.02457205224605043,Přísaha,Přísaha,1
volby+STEM,2023-02-23,0.045845792177905714,SOCDEM,SOCDEM,1
Kantar,2023-02-23,0.045845792177905714,SOCDEM,SOCDEM,1
Median,2023-02-23,0.045845792177905714,SOCDEM,SOCDEM,1
STEM,2023-02-23,0.045845792177905714,SOCDEM,SOCDEM,1
volby+STEM,2023-02-23,0.09108960836776385,SPD,SPD,1
Kantar,2023-02-23,0.09108960836776385,SPD,SPD,1
Median,2023-02-23,0.09108960836776385,SPD,SPD,1
STEM,2023-02-23,0.09108960836776385,SPD,SPD,1
volby+STEM,2023-02-23,0.06896705991892924,STAN,STAN,1
Kantar,2023-02-23,0.06896705991892924,STAN,STAN,1
Median,2023-02-23,0.06896705991892924,STAN,STAN,1
STEM,2023-02-23,0.06896705991892924,STAN,STAN,1
volby+STEM,2023-02-23,0.04851444895368177,TOP 09,TOP 09,1
Kantar,2023-02-23,0.04851444895368177,TOP 09,TOP 09,1
Median,2023-02-23,0.04851444895368177,TOP 09,TOP 09,1
STEM,2023-02-23,0.04851444895368177,TOP 09,TOP 09,1
volby+STEM,2023-03-18,0.3186746017818017,ANO,ANO,1
Kantar,2023-03-18,0.3186746017818017,ANO,ANO,1
Median,2023-03-18,0.3186746017818017,ANO,ANO,1
STEM,2023-03-18,0.3186746017818017,ANO,ANO,1
volby+STEM,2023-03-18,0.03941038441830456,KDU-ČSL,KDU-ČSL,1
Kantar,2023-03-18,0.03941038441830456,KDU-ČSL,KDU-ČSL,1
Median,2023-03-18,0.03941038441830456,KDU-ČSL,KDU-ČSL,1
STEM,2023-03-18,0.03941038441830456,KDU-ČSL,KDU-ČSL,1
volby+STEM,2023-03-18,0.029664982372931407,KSČM,KSČM,1
Kantar,2023-03-18,0.029664982372931407,KSČM,KSČM,1
Median,2023-03-18,0.029664982372931407,KSČM,KSČM,1
STEM,2023-03-18,0.029664982372931407,KSČM,KSČM,1
volby+STEM,2023-03-18,0.17002653918271562,ODS,ODS,1
Kantar,2023-03-18,0.17002653918271562,ODS,ODS,1
Median,2023-03-18,0.17002653918271562,ODS,ODS,1
STEM,2023-03-18,0.17002653918271562,ODS,ODS,1
volby+STEM,2023-03-18,0.10076435651264738,Piráti,Piráti,1
Kantar,2023-03-18,0.10076435651264738,Piráti,Piráti,1
Median,2023-03-18,0.10076435651264738,Piráti,Piráti,1
STEM,2023-03-18,0.10076435651264738,Piráti,Piráti,1
volby+STEM,2023-03-18,0.024827012040499363,Přísaha,Přísaha,1
Kantar,2023-03-18,0.024827012040499363,Přísaha,Přísaha,1
Median,2023-03-18,0.024827012040499363,Přísaha,Přísaha,1
STEM,2023-03-18,0.024827012040499363,Přísaha,Přísaha,1
volby+STEM,2023-03-18,0.04461221686405194,SOCDEM,SOCDEM,1
Kantar,2023-03-18,0.04461221686405194,SOCDEM,SOCDEM,1
Median,2023-03-18,0.04461221686405194,SOCDEM,SOCDEM,1
STEM,2023-03-18,0.04461221686405194,SOCDEM,SOCDEM,1
volby+STEM,2023-03-18,0.0904436137614583,SPD,SPD,1
Kantar,2023-03-18,0.0904436137614583,SPD,SPD,1
Median,2023-03-18,0.0904436137614583,SPD,SPD,1
STEM,2023-03-18,0.0904436137614583,SPD,SPD,1
volby+STEM,2023-03-18,0.06842773022457266,STAN,STAN,1
Kantar,2023-03-18,0.06842773022457266,STAN,STAN,1
Median,2023-03-18,0.06842773022457266,STAN,STAN,1
STEM,2023-03-18,0.06842773022457266,STAN,STAN,1
volby+STEM,2023-03-18,0.04720678821305623,TOP 09,TOP 09,1
Kantar,2023-03-18,0.04720678821305623,TOP 09,TOP 09,1
